load,Month_sin,Month_cos,Day_sin,Day_cos,Hour_sin,Hour_cos,Day of the Week_sin,Day of the Week_cos
115,0.8660254037844386,0.5000000000000001,-0.40673664307580015,0.9135454576426009,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
100,0.8660254037844386,0.5000000000000001,-0.40673664307580015,0.9135454576426009,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434
88,0.8660254037844386,0.5000000000000001,-0.40673664307580015,0.9135454576426009,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
70,0.8660254037844386,0.5000000000000001,-0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
82,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
87,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
106,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
109,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
113,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336
109,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
109,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
121,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
118,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
114,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
101,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336
88,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
70,0.8660254037844386,0.5000000000000001,-0.5877852522924734,0.8090169943749473,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
78,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-1.0,-1.8369701987210297e-16,0.0,1.0
90,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-0.9659258262890683,-0.25881904510252063,0.0,1.0
110,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-0.8660254037844384,-0.5000000000000004,0.0,1.0
109,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-0.7071067811865471,-0.7071067811865479,0.0,1.0
111,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-0.4999999999999998,-0.8660254037844388,0.0,1.0
