Temp Current,Temp Hourly,Temp Hourly.1,Temp Hourly.2,Temp Hourly.3,Temp Hourly.4,Temp Hourly.5,Temp Hourly.6,Temp Hourly.7,Temp Hourly.8,Temp Hourly.9,Temp Hourly.10,Temp Hourly.11,Clouds Current,Clouds Hourly,Clouds Hourly.1,Clouds Hourly.2,Clouds Hourly.3,Clouds Hourly.4,Clouds Hourly.5,Clouds Hourly.6,Clouds Hourly.7,Clouds Hourly.8,Clouds Hourly.9,Clouds Hourly.10,Clouds Hourly.11,UVI Current,UVI Hourly,UVI Hourly.1,UVI Hourly.2,UVI Hourly.3,UVI Hourly.4,UVI Hourly.5,UVI Hourly.6,UVI Hourly.7,UVI Hourly.8,UVI Hourly.9,UVI Hourly.10,UVI Hourly.11,POP Current,POP Hourly,POP Hourly.1,POP Hourly.2,POP Hourly.3,POP Hourly.4,POP Hourly.5,POP Hourly.6,POP Hourly.7,POP Hourly.8,POP Hourly.9,POP Hourly.10,POP Hourly.11,Label
28.02,28.02,27.75,28.04,28.69,29.41,29.91,30.04,30.6,30.65,29.8,29.01,28.04,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.09,0.39,0.91,1.57,2.11,2.35,1.99,1.52,0.91,0.34,0.09,0.04,0.019,0.015,0.015,0.011,0.01,0.01,0.008,0.012,0.026000000000000002,0.052000000000000005,0.056999999999999995,0.065,True
25.75,25.75,25.66,25.5,25.41,25.41,25.56,25.59,25.47,25.23,24.78,24.49,23.81,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.07,0.28,0.65,1.23,1.65,1.82,1.91,1.46,0.89,0.45,0.12,0.1,0.097,0.097,0.095,0.094,0.094,0.094,0.03,0.026000000000000002,0.025,0.014000000000000002,0.008,0.008,False
26.22,26.22,24.73,24.39,24.64,25.21,25.77,26.78,27.25,27.37,27.52,27.28,26.56,100,100,100,100,99,99,99,100,100,100,100,100,100,0.0,0.0,0.11,0.42,0.97,1.22,1.64,1.81,1.85,1.41,0.86,0.31,0.09,0.018,0.011,0.012,0.011,0.011,0.011,0.007000000000000001,0.003,0.016,0.03,0.045,0.066,0.089,False
25.32,25.32,25.34,25.5,25.97,26.8,28.0,28.81,29.32,29.39,28.78,27.63,26.55,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.07,0.26,0.6,1.04,1.4,1.55,1.6,1.22,0.75,0.34,0.1,0.093,0.094,0.097,0.1,0.1,0.1,0.1,0.098,0.098,0.1,0.1,0.1,False
22.15,22.15,21.78,21.25,21.06,21.09,20.86,20.79,20.8,21.13,20.91,20.61,19.98,100,100,100,100,99,99,100,100,100,99,97,93,81,0.0,0.0,0.0,0.11,0.42,0.95,1.68,2.25,2.48,2.6,2.0,1.24,0.59,0.051000000000000004,0.046,0.028999999999999998,0.024,0.024,0.024,0.020999999999999998,0.020999999999999998,0.001,0.0,0.0,0.0,0.0,False
-1.5,-1.5,-0.58,0.59,5.49,11.8,19.26,22.69,25.77,28.4,30.09,31.05,31.46,0,0,12,19,28,34,40,43,41,44,58,61,56,0.0,0.0,0.0,0.15,0.57,1.28,2.16,2.89,3.18,2.85,2.19,1.35,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
25.52,25.52,25.38,25.41,26.47,29.12,31.73,32.63,33.08,33.26,33.49,33.57,33.55,0,0,12,40,60,80,100,100,100,100,100,100,100,0.0,0.0,0.0,0.14,0.52,1.17,1.78,2.38,2.63,1.62,1.25,0.77,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
35.62,35.62,35.08,34.5,33.84,33.1,32.14,31.84,31.68,31.69,31.8,31.93,32.09,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.02,0.08,0.19,0.46,0.61,0.68,0.81,0.62,0.39,0.21,0.081,0.081,0.072,0.06899999999999999,0.073,0.098,0.1,0.1,0.1,0.1,0.1,0.1,0.1,False
21.34,21.34,20.7,19.49,18.16,17.11,16.95,17.82,18.5,19.54,19.17,18.41,17.51,100,100,100,100,99,98,97,98,98,100,100,100,100,0.0,0.0,0.0,0.13,0.44,0.97,1.54,2.04,2.25,1.87,1.45,0.92,0.42,0.08299999999999999,0.08,0.056999999999999995,0.049,0.045,0.045,0.046,0.046,0.08399999999999999,0.08399999999999999,0.08399999999999999,0.08399999999999999,0.08399999999999999,False
13.19,13.19,13.24,13.33,13.71,14.63,16.38,17.58,18.59,20.35,21.43,22.21,22.24,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.11,0.4,0.87,1.79,2.37,2.61,2.81,2.17,1.37,0.64,0.073,0.073,0.061,0.064,0.061,0.056999999999999995,0.046,0.046,0.008,0.008,0.005,0.005,0.005,False
15.44,15.44,14.52,13.33,13.69,15.84,20.17,23.94,26.8,28.99,30.42,31.35,31.78,66,66,64,43,32,20,9,23,28,89,94,93,78,0.0,0.0,0.0,0.17,0.57,1.24,1.94,2.56,2.82,2.83,2.2,1.39,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
23.86,23.86,24.01,24.19,24.66,25.07,25.56,25.29,25.16,24.96,24.33,24.08,23.97,75,75,78,85,90,95,100,100,100,100,100,100,100,0.0,0.0,0.0,0.17,0.59,1.28,1.81,2.4,2.64,2.33,1.82,1.15,0.65,0.006,0.003,0.008,0.008,0.008,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,True
19.99,19.99,19.63,19.87,20.79,22.33,24.19,25.66,26.94,28.2,29.12,29.82,29.57,75,75,80,85,90,95,100,100,100,100,100,100,100,0.0,0.0,0.0,0.17,0.56,1.23,1.89,2.5,2.75,2.29,1.79,1.14,0.51,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.0,0.014000000000000002,0.016,0.019,0.028999999999999998,True
31.17,31.17,31.69,32.4,33.12,33.82,34.52,34.38,33.98,33.89,33.98,33.94,33.93,100,100,100,100,100,100,100,100,100,70,60,70,68,0.0,0.0,0.0,0.04,0.13,0.27,1.07,1.41,1.55,3.05,2.38,1.51,0.67,0.1,0.1,0.092,0.08199999999999999,0.093,0.1,0.095,0.091,0.0,0.0,0.0,0.0,0.0,False
26.42,26.42,24.98,24.31,25.14,26.33,27.39,27.81,28.49,29.39,30.25,31.03,31.42,75,75,75,83,88,90,90,80,74,41,44,44,46,0.0,0.0,0.0,0.2,0.65,1.38,2.33,3.06,3.36,3.23,2.52,1.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
14.74,14.74,14.81,16.02,19.49,23.77,28.53,30.15,31.06,31.78,32.38,32.23,32.22,100,100,90,86,77,65,45,39,39,39,48,45,47,0.0,0.0,0.0,0.22,0.71,1.5,2.5,3.28,3.6,3.27,2.56,1.63,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
24.17,24.17,24.62,26.31,28.18,30.11,31.91,32.02,32.02,32.29,32.65,33.06,33.42,0,0,15,40,60,80,100,100,100,100,100,99,98,0.0,0.0,0.0,0.18,0.56,1.18,1.85,2.42,2.65,2.77,2.18,1.4,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.028999999999999998,0.028999999999999998,0.03,0.025,True
30.02,30.02,29.32,28.81,29.57,30.2,30.42,30.47,30.72,31.17,31.42,31.8,32.27,100,100,96,80,66,64,60,57,52,57,59,64,63,0.0,0.0,0.0,0.24,0.74,1.52,2.48,3.23,3.54,3.28,2.58,1.67,0.83,0.0,0.0,0.006,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,True
25.97,25.97,24.71,24.35,25.99,27.73,29.14,29.75,30.24,30.85,31.46,31.86,32.05,0,0,5,36,49,70,90,90,90,78,81,87,90,0.0,0.0,0.0,0.23,0.69,1.42,2.23,2.9,3.17,3.07,2.42,1.57,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.0,True
21.0,21.0,20.19,19.58,19.51,19.94,21.2,22.68,24.17,25.05,24.85,25.54,26.33,40,40,44,64,76,85,92,93,94,100,100,100,100,0.0,0.0,0.0,0.23,0.67,1.36,2.11,2.72,2.98,2.32,1.84,1.21,0.59,0.007000000000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.039,0.06,0.068,0.071,True
14.36,14.36,13.96,13.77,14.32,15.48,17.26,18.66,20.17,21.88,23.16,23.95,24.46,75,75,73,57,53,45,32,34,45,100,100,100,100,0.0,0.0,0.0,0.23,0.67,1.33,2.08,2.69,2.93,2.67,2.11,1.4,0.72,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
8.51,8.51,8.1,8.82,11.8,16.43,22.37,25.86,28.36,30.02,31.03,31.69,31.86,75,75,68,68,70,74,78,83,86,100,95,90,91,0.0,0.0,0.0,0.27,0.78,1.57,2.37,3.07,3.35,3.13,2.48,1.63,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
31.17,31.17,31.19,31.26,31.57,31.71,31.95,32.13,32.29,32.16,31.66,31.26,30.7,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.14,0.41,0.83,1.6,2.07,2.27,1.15,0.9,0.6,0.14,0.074,0.074,0.027000000000000003,0.013000000000000001,0.012,0.017,0.024,0.02,0.036,0.054000000000000006,0.056999999999999995,0.062,0.066,False
26.35,26.35,25.95,25.34,24.89,24.76,24.76,25.39,25.86,26.24,26.56,26.6,26.49,75,75,80,85,90,93,98,88,75,4,4,9,31,0.0,0.0,0.0,0.3,0.86,1.72,2.63,3.39,3.7,3.54,2.81,1.86,0.97,0.043,0.034999999999999996,0.018,0.014000000000000002,0.014000000000000002,0.011,0.003,0.0,0.0,0.0,0.0,0.0,0.0,True
