Date,Production Difference
2021-04-13,215.41273555599764
2021-04-14,356.68664361099945
2021-04-15,357.8653577779987
2021-04-16,579.4161936109958
2021-04-17,601.9625069449976
2021-04-18,510.7272763889996
2021-04-19,328.60565583399875
2021-04-20,352.26504388899775
2021-04-21,360.56586000000243
2021-04-22,583.9014105550013
2021-04-23,312.80461472299794
2021-04-24,181.39348666699516
2021-04-25,587.4175561110023
2021-04-26,35.54228249999869
2021-04-27,143.5383533339991
2021-04-28,593.0166049999971
2021-04-29,322.67316555599973
2021-04-30,612.0179027780032
2021-05-01,540.884556388999
2021-05-02,321.68002861199784
2021-05-03,208.92249777700636
2021-05-04,448.25855749999755
2021-05-05,487.49080611099635
2021-05-06,511.7897169440039
2021-05-07,354.9741708330039
2021-05-08,570.4566794440034
